"Individual Resources and Collections MemberType Report"
" "
"Collection: AP-Computer-Science-Principles-Course","Start Date: ","End Date: "
" "
"Individual (Resources & Collections)","Type (resource/collection)",Teachers,Students,Parents
"Unit 3: AP Computer Science Principles Course - Introduction to Python Programming using Processing Unit",collection,36,1,2
"AP Computer Science Principles Course",collection,80,17,6
"AP Computer Science Principles Course:  AP Course and Exam Description",resource,6,1,1
"Unit 1: How Computers Work: Computer Architecture and Data Storage",collection,74,11,4
"Unit 2: How the Internet Works",collection,22,1,0
